Epoch Number,Max,Min,Mean,Std Dev
0,1,0,0.000802568,0.0283296
1,2,0,0.00160514,0.0566593
2,3,0,0.0024077,0.0849889
3,4,0,0.00321027,0.113319
4,4,0,0.00401284,0.116784
5,4,0,0.00481541,0.126653
6,4,0,0.00561798,0.129753
7,4,0,0.00642055,0.138693
8,4,0,0.00722311,0.15245
9,4,0,0.00802568,0.169856
10,4,0,0.00882825,0.172165
11,4,0,0.00963082,0.178985
12,4,0,0.0104334,0.189831
13,4,0,0.011236,0.204061
14,4,0,0.0120385,0.205974
15,4,0,0.0128411,0.211695
16,4,0,0.0136437,0.220929
17,4,0,0.0144462,0.233259
18,4,0,0.0144462,0.233259
19,4,0,0.0144462,0.233259
20,4,0,0.0144462,0.233259
21,4,0,0.0144462,0.233259
22,4,0,0.0144462,0.233259
23,4,0,0.0144462,0.233259
24,4,0,0.0144462,0.233259
25,4,0,0.0144462,0.233259
26,4,0,0.0144462,0.233259
27,4,0,0.0144462,0.233259
28,4,0,0.0144462,0.233259
29,4,0,0.0144462,0.233259
30,4,0,0.0144462,0.233259
31,4,0,0.0144462,0.233259
32,4,0,0.0144462,0.233259
33,4,0,0.0144462,0.233259
34,4,0,0.0144462,0.233259
35,4,0,0.0144462,0.233259
36,4,0,0.0144462,0.233259
37,4,0,0.0144462,0.233259
38,4,0,0.0152488,0.234923
39,4,0,0.0160514,0.239945
40,4,0,0.0168539,0.248119
41,4,0,0.0176565,0.259148
42,4,0,0.0184591,0.260638
43,4,0,0.0192616,0.265163
44,4,0,0.0200642,0.272573
45,4,0,0.0208668,0.28264
46,4,0,0.0216693,0.283997
47,4,0,0.0224719,0.288147
48,4,0,0.0232745,0.294971
49,4,0,0.024077,0.30429
50,4,0,0.0248796,0.305543
51,4,0,0.0256822,0.309395
52,4,0,0.0264848,0.315752
53,4,0,0.0272873,0.324467
54,4,0,0.0272873,0.324467
55,4,0,0.0272873,0.324467
56,4,0,0.0272873,0.324467
57,4,0,0.0272873,0.324467
58,4,0,0.0272873,0.324467
59,4,0,0.0272873,0.324467
60,4,0,0.0272873,0.324467
61,4,0,0.0272873,0.324467
62,4,0,0.0272873,0.324467
63,4,0,0.0272873,0.324467
64,4,0,0.0272873,0.324467
65,4,0,0.0272873,0.324467
66,4,0,0.0280899,0.325634
67,4,0,0.0288925,0.329244
68,4,0,0.029695,0.335217
69,4,0,0.0304976,0.343431
70,4,0,0.0313002,0.344526
71,4,0,0.0321027,0.347932
72,4,0,0.0329053,0.353583
73,4,0,0.0337079,0.361372
74,4,0,0.0345104,0.362406
75,4,0,0.035313,0.365639
76,4,0,0.035313,0.365639
77,4,0,0.035313,0.365639
78,4,0,0.035313,0.365639
79,4,0,0.035313,0.365639
80,4,0,0.035313,0.365639
81,4,0,0.035313,0.365639
82,4,0,0.035313,0.365639
83,4,0,0.035313,0.365639
84,4,0,0.035313,0.365639
85,4,0,0.035313,0.365639
86,4,0,0.035313,0.365639
87,4,0,0.035313,0.365639
88,4,0,0.035313,0.365639
89,4,0,0.035313,0.365639
90,4,0,0.035313,0.365639
91,4,0,0.035313,0.365639
92,4,0,0.035313,0.365639
93,4,0,0.035313,0.365639
94,4,0,0.035313,0.365639
95,4,0,0.035313,0.365639
96,4,0,0.035313,0.365639
97,4,0,0.035313,0.365639
98,4,0,0.035313,0.365639
99,4,0,0.035313,0.365639
100,4,0,0.035313,0.365639
101,4,0,0.035313,0.365639
102,4,0,0.035313,0.365639
103,4,0,0.035313,0.365639
104,4,0,0.035313,0.365639
105,4,0,0.035313,0.365639
106,4,0,0.035313,0.365639
107,4,0,0.035313,0.365639
108,4,0,0.035313,0.365639
109,4,0,0.035313,0.365639
110,4,0,0.035313,0.365639
111,4,0,0.035313,0.365639
112,4,0,0.035313,0.365639
113,4,0,0.035313,0.365639
114,4,0,0.035313,0.365639
115,4,0,0.035313,0.365639
116,4,0,0.035313,0.365639
117,4,0,0.035313,0.365639
118,4,0,0.035313,0.365639
119,4,0,0.035313,0.365639
120,4,0,0.035313,0.365639
121,4,0,0.035313,0.365639
122,4,0,0.035313,0.365639
123,4,0,0.035313,0.365639
124,4,0,0.035313,0.365639
125,4,0,0.035313,0.365639
126,4,0,0.035313,0.365639
127,4,0,0.035313,0.365639
128,4,0,0.035313,0.365639
129,4,0,0.035313,0.365639
130,4,0,0.035313,0.365639
131,4,0,0.035313,0.365639
132,4,0,0.035313,0.365639
133,4,0,0.035313,0.365639
134,4,0,0.035313,0.365639
135,4,0,0.035313,0.365639
136,4,0,0.035313,0.365639
137,4,0,0.035313,0.365639
138,4,0,0.035313,0.365639
139,4,0,0.035313,0.365639
140,4,0,0.035313,0.365639
141,4,0,0.035313,0.365639
142,4,0,0.035313,0.365639
143,4,0,0.035313,0.365639
144,4,0,0.035313,0.365639
145,4,0,0.035313,0.365639
146,4,0,0.035313,0.365639
147,4,0,0.035313,0.365639
148,4,0,0.035313,0.365639
149,4,0,0.035313,0.365639
150,4,0,0.035313,0.365639
151,4,0,0.035313,0.365639
152,4,0,0.035313,0.365639
153,4,0,0.035313,0.365639
154,4,0,0.035313,0.365639
155,4,0,0.035313,0.365639
156,4,0,0.035313,0.365639
157,4,0,0.035313,0.365639
158,4,0,0.035313,0.365639
159,4,0,0.035313,0.365639
160,4,0,0.035313,0.365639
161,4,0,0.035313,0.365639
162,4,0,0.035313,0.365639
163,4,0,0.035313,0.365639
164,4,0,0.035313,0.365639
165,4,0,0.035313,0.365639
166,4,0,0.035313,0.365639
167,4,0,0.035313,0.365639
168,4,0,0.035313,0.365639
169,4,0,0.035313,0.365639
170,4,0,0.035313,0.365639
171,4,0,0.035313,0.365639
172,4,0,0.035313,0.365639
173,4,0,0.035313,0.365639
174,4,0,0.035313,0.365639
175,4,0,0.035313,0.365639
176,4,0,0.035313,0.365639
177,4,0,0.035313,0.365639
178,4,0,0.035313,0.365639
179,4,0,0.035313,0.365639
180,4,0,0.035313,0.365639
181,4,0,0.035313,0.365639
182,4,0,0.035313,0.365639
183,4,0,0.035313,0.365639
184,4,0,0.035313,0.365639
185,4,0,0.035313,0.365639
186,4,0,0.035313,0.365639
187,4,0,0.035313,0.365639
188,4,0,0.035313,0.365639
189,4,0,0.035313,0.365639
190,4,0,0.035313,0.365639
191,4,0,0.035313,0.365639
192,4,0,0.035313,0.365639
193,4,0,0.035313,0.365639
194,4,0,0.035313,0.365639
195,4,0,0.035313,0.365639
196,4,0,0.035313,0.365639
197,4,0,0.035313,0.365639
198,4,0,0.035313,0.365639
199,4,0,0.035313,0.365639
200,4,0,0.035313,0.365639
201,4,0,0.035313,0.365639
202,4,0,0.0361156,0.366657
203,4,0,0.0369181,0.369849
204,4,0,0.0377207,0.37516
205,4,0,0.0385233,0.3825
206,4,0,0.0393258,0.383467
207,4,0,0.0401284,0.386513
208,4,0,0.040931,0.387467
209,4,0,0.0417335,0.390479
210,4,0,0.0425361,0.395502
211,4,0,0.0433387,0.402462
212,4,0,0.0433387,0.402462
213,4,0,0.0433387,0.402462
214,4,0,0.0433387,0.402462
215,4,0,0.0433387,0.402462
216,4,0,0.0433387,0.402462
217,4,0,0.0433387,0.402462
218,4,0,0.0433387,0.402462
219,4,0,0.0433387,0.402462
220,4,0,0.0433387,0.402462
221,4,0,0.0433387,0.402462
222,4,0,0.0433387,0.402462
223,4,0,0.0433387,0.402462
224,4,0,0.0433387,0.402462
225,4,0,0.0433387,0.402462
226,4,0,0.0433387,0.402462
227,4,0,0.0433387,0.402462
228,4,0,0.0433387,0.402462
229,4,0,0.0433387,0.402462
230,4,0,0.0433387,0.402462
231,4,0,0.0433387,0.402462
232,4,0,0.0433387,0.402462
233,4,0,0.0433387,0.402462
234,4,0,0.0433387,0.402462
235,4,0,0.0433387,0.402462
236,4,0,0.0433387,0.402462
237,4,0,0.0433387,0.402462
238,4,0,0.0433387,0.402462
239,4,0,0.0433387,0.402462
240,4,0,0.0433387,0.402462
241,4,0,0.0433387,0.402462
242,4,0,0.0433387,0.402462
243,4,0,0.0433387,0.402462
244,4,0,0.0433387,0.402462
245,4,0,0.0433387,0.402462
246,4,0,0.0433387,0.402462
247,4,0,0.0433387,0.402462
248,4,0,0.0433387,0.402462
249,4,0,0.0433387,0.402462
250,4,0,0.0433387,0.402462
251,4,0,0.0433387,0.402462
252,4,0,0.0433387,0.402462
253,4,0,0.0433387,0.402462
254,4,0,0.0433387,0.402462
255,4,0,0.0433387,0.402462
256,4,0,0.0433387,0.402462
257,4,0,0.0433387,0.402462
258,4,0,0.0433387,0.402462
259,4,0,0.0433387,0.402462
260,4,0,0.0433387,0.402462
261,4,0,0.0433387,0.402462
262,4,0,0.0433387,0.402462
263,4,0,0.0433387,0.402462
264,4,0,0.0433387,0.402462
265,4,0,0.0433387,0.402462
266,4,0,0.0433387,0.402462
267,4,0,0.0433387,0.402462
268,4,0,0.0433387,0.402462
269,4,0,0.0433387,0.402462
270,4,0,0.0433387,0.402462
271,4,0,0.0433387,0.402462
272,4,0,0.0433387,0.402462
273,4,0,0.0433387,0.402462
274,4,0,0.0433387,0.402462
275,4,0,0.0433387,0.402462
276,4,0,0.0441413,0.403372
277,4,0,0.0449438,0.406259
278,4,0,0.0457464,0.407157
279,4,0,0.046549,0.410015
280,4,0,0.0473515,0.414793
281,4,0,0.0481541,0.421425
282,4,0,0.0489567,0.422285
283,4,0,0.0497592,0.425035
284,4,0,0.0505618,0.429639
285,4,0,0.0513644,0.43604
286,4,0,0.0513644,0.43604
287,4,0,0.0513644,0.43604
288,4,0,0.0513644,0.43604
289,4,0,0.0513644,0.43604
290,4,0,0.0513644,0.43604
291,4,0,0.0513644,0.43604
292,4,0,0.0513644,0.43604
293,4,0,0.0513644,0.43604
294,4,0,0.0513644,0.43604
295,4,0,0.0513644,0.43604
296,4,0,0.0513644,0.43604
297,4,0,0.0513644,0.43604
298,4,0,0.0513644,0.43604
299,4,0,0.0513644,0.43604
300,4,0,0.0513644,0.43604
301,4,0,0.0513644,0.43604
302,4,0,0.0513644,0.43604
303,4,0,0.0513644,0.43604
304,4,0,0.0513644,0.43604
305,4,0,0.0513644,0.43604
306,4,0,0.0513644,0.43604
307,4,0,0.0513644,0.43604
308,4,0,0.0513644,0.43604
309,4,0,0.0513644,0.43604
310,4,0,0.0513644,0.43604
311,4,0,0.0513644,0,0.052
312,4,0,0.0513644,0.43604
313,4,0,0.0513644,0.43604
314,4,0,0.0513644,0.43604
315,4,0,0.0513644,0.43604
316,4,0,0.0513644,0.43604
317,4,0,0.0513644,0.43604
318,4,0,0.0513644,0.43604
319,4,0,0.0513644,0.43604
320,4,0,0.0513644,0.43604
321,4,0,0.0513644,0.43604
322,4,0,0.0513644,0.43604
323,4,0,0.0513644,0.43604
324,4,0,0.0513644,0.43604
325,4,0,0.0513644,0.43604
326,4,0,0.0513644,0.43604
327,4,0,0.0513644,0.43604
328,4,0,0.0513644,0.43604
329,4,0,0.0513644,0.43604
330,4,0,0.0521669,0.436865
331,4,0,0.0529695,0.439518
332,4,0,0.0537721,0.440333
333,4,0,0.0545746,0.442963
334,4,0,0.0553772,0.447374
335,4,0,0.0561798,0.453516
336,4,0,0.0569823,0.454301
337,4,0,0.0577849,0.456844
338,4,0,0.0585875,0.461117
339,4,0,0.05939,0.467073
340,4,0,0.0601926,0.467829
341,4,0,0.0609952,0.470294
342,4,0,0.0617978,0.47444
343,4,0,0.0626003,0.480225
344,4,0,0.0634029,0.480956
345,4,0,0.0642055,0.483348
346,4,0,0.065008,0.487378
347,4,0,0.0658106,0.493006
348,4,0,0.0658106,0.493006
349,4,0,0.0658106,0.493006
350,4,0,0.0658106,0.493006
351,4,0,0.0658106,0.493006
352,4,0,0.0658106,0.493006
353,4,0,0.0658106,0.493006
354,4,0,0.0658106,0.493006
355,4,0,0.0658106,0.493006
356,4,0,0.0658106,0.493006
357,4,0,0.0658106,0.493006
358,4,0,0.0658106,0.493006
359,4,0,0.0658106,0.493006
360,4,0,0.0658106,0.493006
361,4,0,0.0658106,0.493006
362,4,0,0.0658106,0.493006
363,4,0,0.0658106,0.493006
364,4,0,0.0658106,0.493006
365,4,0,0.0658106,0.493006
366,4,0,0.0658106,0.493006
367,4,0,0.0658106,0.493006
368,4,0,0.0658106,0.493006
369,4,0,0.0658106,0.493006
370,4,0,0.0666132,0.493712
371,4,0,0.0674157,0.496038
372,4,0,0.0682183,0.499961
373,4,0,0.0690209,0.505444
374,4,0,0.0690209,0.505444
375,4,0,0.0690209,0.505444
376,4,0,0.0690209,0.505444
377,4,0,0.0690209,0.505444
378,4,0,0.0690209,0.505444
379,4,0,0.0690209,0.505444
380,4,0,0.0690209,0.505444
381,4,0,0.0690209,0.505444
382,4,0,0.0690209,0.505444
383,4,0,0.0690209,0.505444
384,4,0,0.0690209,0.505444
385,4,0,0.0690209,0.505444
386,4,0,0.0690209,0.505444
387,4,0,0.0690209,0.505444
388,4,0,0.0690209,0.505444
389,4,0,0.0690209,0.505444
390,4,0,0.0690209,0.505444
391,4,0,0.0690209,0.505444
392,4,0,0.0690209,0.505444
393,4,0,0.0690209,0.505444
394,4,0,0.0690209,0.505444
395,4,0,0.0690209,0.505444
396,4,0,0.0690209,0.505444
397,4,0,0.0690209,0.505444
398,4,0,0.0698234,0.506127
399,4,0,0.070626,0.508391
400,4,0,0.0714286,0.512215
401,4,0,0.0722311,0.517562
402,4,0,0.0730337,0.518225
403,4,0,0.0738363,0.520432
404,4,0,0.0746388,0.524162
