Epoch Number,Max,Min,Mean,Std Dev
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,1,0,0.004,0.0632456
16,1,0,0.008,0.0892629
17,1,0,0.012,0.109104
18,2,0,0.016,0.1544
19,2,0,0.016,0.1544
20,2,0,0.02,0.166466
21,2,0,0.02,0.166466
22,2,0,0.02,0.166466
23,2,0,0.02,0.166466
24,2,0,0.024,0.177624
25,2,0,0.024,0.177624
26,2,0,0.024,0.177624
27,2,0,0.024,0.177624
28,2,0,0.028,0.188036
29,2,0,0.028,0.188036
30,2,0,0.028,0.188036
31,2,0,0.028,0.188036
32,2,0,0.028,0.188036
33,2,0,0.028,0.188036
34,2,0,0.028,0.188036
35,2,0,0.028,0.188036
36,2,0,0.028,0.188036
37,2,0,0.028,0.188036
38,2,0,0.028,0.188036
39,2,0,0.028,0.188036
40,2,0,0.028,0.188036
41,2,0,0.028,0.188036
42,2,0,0.028,0.188036
43,2,0,0.028,0.188036
44,2,0,0.032,0.197819
45,2,0,0.032,0.197819
46,2,0,0.032,0.197819
47,2,0,0.032,0.197819
48,2,0,0.032,0.197819
49,2,0,0.032,0.197819
50,2,0,0.032,0.197819
51,2,0,0.036,0.207064
52,2,0,0.04,0.215839
53,2,0,0.04,0.215839
54,2,0,0.04,0.215839
55,2,0,0.04,0.215839
56,2,0,0.04,0.215839
57,2,0,0.04,0.215839
58,2,0,0.04,0.215839
59,2,0,0.04,0.215839
60,2,0,0.04,0.215839
61,2,0,0.04,0.215839
62,2,0,0.044,0.224199
63,2,0,0.044,0.224199
64,2,0,0.044,0.224199
65,2,0,0.044,0.224199
66,2,0,0.044,0.224199
67,2,0,0.044,0.224199
68,2,0,0.048,0.232189
69,2,0,0.052,0.239846
70,2,0,0.056,0.262946
71,2,0,0.056,0.262946
72,2,0,0.056,0.262946
73,2,0,0.06,0.269612
74,2,0,0.06,0.269612
75,2,0,0.06,0.269612
76,2,0,0.06,0.269612
77,2,0,0.06,0.269612
78,2,0,0.06,0.269612
79,2,0,0.06,0.269612
80,2,0,0.06,0.269612
81,2,0,0.06,0.269612
82,2,0,0.06,0.269612
83,2,0,0.06,0.269612
84,2,0,0.06,0.269612
85,2,0,0.06,0.269612
86,2,0,0.06,0.269612
87,2,0,0.06,0.269612
88,2,0,0.064,0.276059
89,2,0,0.068,0.282303
90,2,0,0.068,0.282303
91,2,0,0.068,0.282303
92,2,0,0.068,0.282303
93,2,0,0.068,0.282303
94,2,0,0.068,0.282303
95,2,0,0.068,0.282303
96,2,0,0.068,0.282303
97,2,0,0.072,0.288355
98,2,0,0.076,0.294228
99,2,0,0.076,0.294228
100,2,0,0.08,0.299933
101,2,0,0.08,0.299933
102,2,0,0.084,0.305479
103,2,0,0.084,0.305479
104,2,0,0.084,0.305479
105,2,0,0.084,0.305479
106,2,0,0.084,0.305479
107,2,0,0.084,0.305479
108,2,0,0.084,0.305479
109,2,0,0.084,0.305479
110,2,0,0.084,0.305479
111,2,0,0.088,0.310874
112,2,0,0.092,0.316126
113,2,0,0.096,0.33351
114,2,0,0.096,0.33351
115,2,0,0.1,0.338316
116,2,0,0.1,0.338316
117,2,0,0.104,0.343008
118,2,0,0.108,0.347591
119,2,0,0.108,0.347591
120,2,0,0.108,0.347591
121,2,0,0.108,0.347591
122,2,0,0.108,0.347591
123,2,0,0.108,0.347591
124,2,0,0.108,0.347591
125,2,0,0.108,0.347591
126,2,0,0.108,0.347591
127,2,0,0.108,0.347591
128,2,0,0.108,0.347591
129,2,0,0.108,0.347591
130,2,0,0.108,0.347591
131,2,0,0.108,0.347591
132,2,0,0.108,0.347591
133,2,0,0.108,0.347591
134,2,0,0.108,0.347591
135,2,0,0.112,0.352068
136,2,0,0.112,0.352068
137,2,0,0.112,0.352068
138,2,0,0.112,0.352068
139,2,0,0.112,0.352068
140,2,0,0.112,0.352068
141,2,0,0.112,0.352068
142,2,0,0.112,0.352068
143,2,0,0.112,0.352068
144,2,0,0.116,0.356444
145,2,0,0.12,0.360722
146,2,0,0.124,0.364906
147,2,0,0.128,0.379727
148,2,0,0.128,0.379727
149,2,0,0.132,0.38362
150,2,0,0.132,0.38362
151,2,0,0.132,0.38362
152,2,0,0.132,0.38362
153,2,0,0.132,0.38362
154,2,0,0.132,0.38362
155,2,0,0.132,0.38362
156,2,0,0.132,0.38362
157,2,0,0.132,0.38362
158,2,0,0.136,0.387433
159,2,0,0.136,0.387433
160,2,0,0.136,0.387433
161,2,0,0.136,0.387433
162,2,0,0.136,0.387433
163,2,0,0.136,0.387433
164,2,0,0.136,0.387433
165,2,0,0.136,0.387433
166,2,0,0.136,0.387433
167,2,0,0.136,0.387433
168,2,0,0.136,0.387433
169,2,0,0.136,0.387433
170,2,0,0.136,0.387433
171,2,0,0.14,0.391168
172,2,0,0.14,0.391168
173,2,0,0.14,0.391168
174,2,0,0.14,0.391168
175,2,0,0.144,0.394826
176,2,0,0.144,0.394826
177,2,0,0.144,0.394826
178,2,0,0.144,0.394826
179,2,0,0.148,0.39841
180,2,0,0.148,0.39841
181,2,0,0.148,0.39841
182,2,0,0.148,0.39841
183,2,0,0.148,0.39841
184,2,0,0.148,0.39841
185,2,0,0.148,0.39841
186,2,0,0.148,0.39841
187,3,0,0.152,0.421434
188,3,0,0.152,0.421434
189,3,0,0.156,0.424718
190,3,0,0.156,0.424718
191,3,0,0.156,0.424718
192,3,0,0.16,0.42794
193,3,0,0.16,0.42794
194,3,0,0.16,0.42794
195,3,0,0.16,0.42794
196,3,0,0.16,0.42794
197,3,0,0.16,0.42794
198,3,0,0.16,0.42794
199,3,0,0.16,0.42794
200,3,0,0.16,0.42794
201,3,0,0.164,0.4311
202,3,0,0.164,0.4311
203,3,0,0.164,0.4311
204,3,0,0.164,0.4311
205,3,0,0.164,0.4311
206,3,0,0.164,0.4311
207,3,0,0.168,0.434201
208,3,0,0.168,0.434201
209,3,0,0.172,0.446333
210,3,0,0.176,0.449256
211,3,0,0.18,0.460923
212,3,0,0.18,0.460923
213,3,0,0.184,0.463685
214,3,0,0.184,0.463685
215,3,0,0.184,0.463685
216,3,0,0.184,0.463685
217,3,0,0.184,0.463685
218,3,0,0.184,0.463685
219,3,0,0.184,0.463685
220,3,0,0.184,0.463685
221,3,0,0.188,0.466397
222,3,0,0.188,0.466397
223,3,0,0.188,0.466397
224,3,0,0.188,0.466397
225,3,0,0.188,0.466397
226,3,0,0.188,0.466397
227,3,0,0.188,0.466397
228,3,0,0.188,0.466397
229,3,0,0.188,0.466397
230,3,0,0.188,0.466397
231,3,0,0.188,0.466397
232,3,0,0.188,0.466397
233,3,0,0.188,0.466397
234,3,0,0.188,0.466397
235,3,0,0.188,0.466397
236,3,0,0.188,0.466397
237,3,0,0.188,0.466397
238,3,0,0.188,0.466397
239,3,0,0.188,0.466397
240,3,0,0.188,0.466397
241,3,0,0.188,0.466397
242,3,0,0.188,0.466397
243,3,0,0.188,0.466397
244,3,0,0.192,0.469059
245,3,0,0.192,0.469059
246,3,0,0.192,0.469059
247,3,0,0.192,0.469059
248,3,0,0.192,0.469059
249,3,0,0.192,0.469059
250,3,0,0.192,0.469059
251,3,0,0.192,0.469059
252,3,0,0.192,0.469059
253,3,0,0.192,0.469059
254,3,0,0.192,0.469059
255,3,0,0.192,0.469059
256,3,0,0.192,0.469059
257,3,0,0.192,0.469059
258,3,0,0.192,0.469059
259,3,0,0.192,0.469059
260,3,0,0.192,0.469059
261,3,0,0.196,0.471671
262,3,0,0.2,0.474236
263,3,0,0.2,0.474236
264,3,0,0.2,0.474236
265,3,0,0.2,0.474236
266,3,0,0.2,0.474236
267,3,0,0.2,0.474236
268,3,0,0.2,0.474236
269,3,0,0.2,0.474236
270,3,0,0.2,0.474236
271,3,0,0.2,0.474236
272,3,0,0.2,0.474236
273,3,0,0.2,0.474236
274,3,0,0.2,0.474236
275,3,0,0.2,0.474236
276,3,0,0.2,0.474236
277,3,0,0.2,0.474236
278,3,0,0.204,0.476753
279,3,0,0.204,0.476753
280,3,0,0.204,0.476753
281,3,0,0.208,0.479223
282,3,0,0.212,0.489914
283,3,0,0.216,0.492253
284,3,0,0.216,0.492253
285,3,0,0.216,0.492253
286,3,0,0.216,0.492253
287,3,0,0.216,0.492253
